run_number,source_period,target,beam_type,group,classification_source,source_file,quality_status,reason_codes,nonzero_unmapped_strip_count,negative_net_bin_count,brem_reference_sum,brem_period_median,brem_ratio
1549,1999_uv,P,UV,P_UV,manual,1999_uv/run1549.root,good,,0,0,1012313.218,374225.538,2.705088550103173
1550,1999_uv,P,UV,P_UV,manual,1999_uv/run1550.root,good,,0,0,771761.736,374225.538,2.0622904041359145
1551,1999_uv,P,UV,P_UV,manual,1999_uv/run1551.root,good,,0,0,606444.341,374225.538,1.6205316832225385
1552,1999_uv,P,UV,P_UV,manual,1999_uv/run1552.root,good,,0,0,527133.009,374225.538,1.4085971038139038
1553,1999_uv,P,UV,P_UV,manual,1999_uv/run1553.root,good,,0,0,440206.582,374225.538,1.1763135791122838
1554,1999_uv,P,UV,P_UV,manual,1999_uv/run1554.root,good,,0,0,291789.199,374225.538,0.7797148226693177
1555,1999_uv,P,UV,P_UV,manual,1999_uv/run1555.root,good,,0,0,274449.05,374225.538,0.7333787305557965
1556,1999_uv,P,UV,P_UV,manual,1999_uv/run1556.root,good,,0,0,608512.497,374225.538,1.6260581793859294
1557,1999_uv,P,UV,P_UV,manual,1999_uv/run1557.root,good,,0,0,255858.548,374225.538,0.683701463474147
1558,1999_uv,P,UV,P_UV,manual,1999_uv/run1558.root,good,,0,0,438236.515,374225.538,1.171049194937626
1559,1999_uv,P,UV,P_UV,manual,1999_uv/run1559.root,good,,0,0,399526.1,374225.538,1.0676077911069768
1560,1999_uv,P,UV,P_UV,manual,1999_uv/run1560.root,good,,0,0,830668.964,374225.538,2.2197014357689295
1561,1999_uv,P,UV,P_UV,manual,1999_uv/run1561.root,good,,0,0,628252.991,374225.538,1.6788084382418607
1562,1999_uv,P,UV,P_UV,manual,1999_uv/run1562.root,good,,0,0,551377.4029999999,374225.538,1.4733826182648175
1563,1999_uv,P,UV,P_UV,manual,1999_uv/run1563.root,good,,0,0,480950.228,374225.538,1.285188153032998
1564,1999_uv,P,UV,P_UV,manual,1999_uv/run1564.root,good,,0,0,429479.695,374225.538,1.1476493488266426
1565,1999_uv,P,UV,P_UV,manual,1999_uv/run1565.root,good,,0,0,387681.702,374225.538,1.0359573642993867
1566,1999_uv,P,UV,P_UV,manual,1999_uv/run1566.root,good,,0,0,362558.305,374225.538,0.9688229909098294
1567,1999_uv,P,UV,P_UV,manual,1999_uv/run1567.root,good,,0,0,342225.516,374225.538,0.9144900100323993
1568,1999_uv,P,UV,P_UV,manual,1999_uv/run1568.root,good,,0,0,323841.096,374225.538,0.8653634322519166
1569,1999_uv,P,UV,P_UV,manual,1999_uv/run1569.root,good,,0,0,299925.806,374225.538,0.8014573446882184
1570,1999_uv,P,UV,P_UV,manual,1999_uv/run1570.root,good,,0,0,133857.645,374225.538,0.35769243786884475
1571,1999_uv,P,UV,P_UV,manual,1999_uv/run1571.root,good,,0,0,472356.937,374225.538,1.2622252867200099
1572,1999_uv,P,UV,P_UV,manual,1999_uv/run1572.root,good,,0,0,435097.86,374225.538,1.1626621270299302
1573,1999_uv,P,UV,P_UV,manual,1999_uv/run1573.root,good,,0,0,394231.83400000003,374225.538,1.0534605310661616
1574,1999_uv,P,UV,P_UV,manual,1999_uv/run1574.root,good,,0,0,352957.517,374225.538,0.9431679058739171
1575,1999_uv,P,UV,P_UV,manual,1999_uv/run1575.root,good,,0,0,332754.586,374225.538,0.8891819296415843
1576,1999_uv,P,UV,P_UV,manual,1999_uv/run1576.root,good,,0,0,309200.397,374225.538,0.8262407708797255
1577,1999_uv,P,UV,P_UV,manual,1999_uv/run1577.root,good,,0,0,317721.384,374225.538,0.8490104275032133
1578,1999_uv,P,UV,P_UV,manual,1999_uv/run1578.root,good,,0,0,139619.536,374225.538,0.37308927858365454
1579,1999_uv,P,UV,P_UV,manual,1999_uv/run1579.root,good,,0,0,1066007.791,374225.538,2.8485704014139195
1580,1999_uv,P,UV,P_UV,manual,1999_uv/run1580.root,good,,0,0,787339.7050000001,374225.538,2.1039176246705003
1581,1999_uv,P,UV,P_UV,manual,1999_uv/run1581.root,good,,0,0,593745.142,374225.538,1.58659706970613
1582,1999_uv,P,UV,P_UV,manual,1999_uv/run1582.root,good,,0,0,596342.619,374225.538,1.5935380096908296
1583,1999_uv,P,UV,P_UV,manual,1999_uv/run1583.root,good,,0,0,510920.111,374225.538,1.3652732353076342
1585,1999_uv,P,UV,P_UV,manual,1999_uv/run1585.root,good,,0,0,217735.92,374225.538,0.581830735453442
1588,1999_uv,P,UV,P_UV,manual,1999_uv/run1588.root,good,,0,0,510328.35,374225.538,1.3636919402331114
1589,1999_uv,P,UV,P_UV,manual,1999_uv/run1589.root,good,,0,0,575669.002,374225.538,1.538294273225148
1590,1999_uv,P,UV,P_UV,manual,1999_uv/run1590.root,good,,0,0,380609.535,374225.538,1.0170592232537587
1591,1999_uv,P,UV,P_UV,manual,1999_uv/run1591.root,good,,0,0,906281.244,374225.538,2.4217514626166428
